epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,10145.8,0.08493,1.30775,0.90164,0,0,0,0,0.11158,0,0.10041,0.003664,0.003664,0.003664
66,10303.7,inf,1.30785,0.90114,0,0,0,0,0.10602,0,0.09525,0.003565,0.003565,0.003565
67,10467.4,0.09198,1.30501,0.90499,0,0,0,0,0.13831,0,0.12407,0.003466,0.003466,0.003466
68,10627.4,0.09466,1.31516,0.90906,0,0,0,0,0.19535,0,0.17489,0.003367,0.003367,0.003367
69,10787.5,0.1166,1.3418,0.93665,0,0,0,0,0.26009,0,0.23166,0.003268,0.003268,0.003268
70,10948.2,0.10044,1.32689,0.91135,0,0,0,0,0.29958,0,0.26612,0.003169,0.003169,0.003169
71,11108.9,0.10048,1.31156,0.90779,0,0,0,0,0.30522,0,0.27129,0.00307,0.00307,0.00307
72,11276,0.09862,1.30159,0.90761,0,0,0,0,0.28824,0,0.25685,0.002971,0.002971,0.002971
73,11440.8,inf,1.29767,0.90616,0,0,0,0,0.25925,0,0.2317,0.002872,0.002872,0.002872
74,11604.9,0.0932,1.30308,0.90655,0,0,0,0,0.23324,0,0.20918,0.002773,0.002773,0.002773
75,11771.6,0.09375,1.30839,0.90391,0,0,0,0,0.21025,0,0.18898,0.002674,0.002674,0.002674
76,11937.6,0.0922,1.30021,0.90357,0,0,0,0,0.19605,0,0.17653,0.002575,0.002575,0.002575
77,12104.4,0.09604,1.30233,0.9071,0,0,0,0,0.18798,0,0.16946,0.002476,0.002476,0.002476
78,12271.1,0.09801,1.28966,0.90648,0,0,0,0,0.17777,0,0.16031,0.002377,0.002377,0.002377
79,12437,0.10213,1.29284,0.91568,0,0,0,0,0.16801,0,0.15163,0.002278,0.002278,0.002278
80,12602.7,0.1008,1.28648,0.91524,0,0,0,0,0.16495,0,0.14893,0.002179,0.002179,0.002179
81,12769.2,0.10085,1.28881,0.91831,0,0,0,0,0.16464,0,0.14865,0.00208,0.00208,0.00208
82,12936.4,0.09163,1.27337,0.90632,0,0,0,0,0.16057,0,0.14503,0.001981,0.001981,0.001981
83,13105.8,0.09543,1.26484,0.9058,0,0,0,0,0.147,0,0.13276,0.001882,0.001882,0.001882
84,13275.5,0.08665,1.25746,0.90297,0,0,0,0,0.14,0,0.12643,0.001783,0.001783,0.001783
85,13446.4,0.08317,1.25695,0.90057,0,0,0,0,0.13191,0,0.1191,0.001684,0.001684,0.001684
86,13618.9,0.0793,1.25237,0.90049,0,0,0,0,0.12568,0,0.1134,0.001585,0.001585,0.001585
87,13785.5,0.07876,1.24724,0.89859,0,0,0,0,0.12304,0,0.11094,0.001486,0.001486,0.001486
88,13953.1,0.07387,1.23445,0.89749,0,0,0,0,0.1289,0,0.11611,0.001387,0.001387,0.001387
89,14118.9,0.07189,1.23588,0.89614,0,0,0,0,0.13965,0,0.12562,0.001288,0.001288,0.001288
90,14285.3,inf,1.23962,0.89965,0,0,0,0,0.15024,0,0.13496,0.001189,0.001189,0.001189
91,14451.2,0.06756,1.07613,0.9306,0,0,0,0,0.16197,0,0.14533,0.00109,0.00109,0.00109
92,14615.7,0.06061,1.04003,0.91996,0,0,0,0,0.16755,0,0.15015,0.000991,0.000991,0.000991
93,14778.5,0.05892,1.02831,0.91602,0,0,0,0,0.17357,0,0.15539,0.000892,0.000892,0.000892
94,14942.5,0.05803,1.01978,0.91917,0,0,0,0,0.17191,0,0.15373,0.000793,0.000793,0.000793
95,15109.3,0.05653,1.00996,0.91641,0,0,0,0,0.17244,0,0.15408,0.000694,0.000694,0.000694
96,15273.2,0.05392,0.99828,0.9141,0,0,0,0,0.17176,0,0.15338,0.000595,0.000595,0.000595
97,15439.2,0.04907,0.99046,0.91118,0,0,0,0,0.17165,0,0.15322,0.000496,0.000496,0.000496
98,15606,0.04943,0.98612,0.91172,0,0,0,0,0.1702,0,0.15189,0.000397,0.000397,0.000397
99,15772.3,0.04834,0.97073,0.91077,0,0,0,0,0.16115,0,0.14386,0.000298,0.000298,0.000298
100,15936.2,inf,0.95569,0.91004,0,0,0,0,0.15495,0,0.13831,0.000199,0.000199,0.000199
